HEAT,Reallusion,Mixamo,Cascadeur,3DS Max Biped,DeepMotion,Maya,Rokoko,UE4,UE5,Unity,Xsens
heat_Index2_l,CC_Base_L_Index2,mixamorig:LeftHandIndex2,,,l_handIndex2_JNT,Character1_LeftHandIndex2,LeftFinger2Proximal,index_02_l,index_01_l,LeftIndexIntermediate,LeftHandIndex2
heat_Index3_l,CC_Base_L_Index3,mixamorig:LeftHandIndex3,,,l_handIndex3_JNT,Character1_LeftHandIndex3,LeftFinger2Medial,index_03_l,index_02_l,LeftIndexDistal,LeftHandIndex3
heat_Middle1_l,CC_Base_L_Mid1,mixamorig:LeftHandMiddle1,,,l_handMiddle1_JNT,Character1_LeftHandMiddle1,LeftFinger3Metacarpal,middle_01_l,middle_metacarpal_l,LeftMiddleProximal,LeftHandMiddle1
heat_Middle2_l,CC_Base_L_Mid2,mixamorig:LeftHandMiddle2,,,l_handMiddle2_JNT,Character1_LeftHandMiddle2,LeftFinger3Proximal,middle_02_l,middle_01_l,LeftMiddleIntermediate,LeftHandMiddle2
heat_Middle3_l,CC_Base_L_Mid3,mixamorig:LeftHandMiddle3,,,l_handMiddle3_JNT,Character1_LeftHandMiddle3,LeftFinger3Medial,middle_03_l,middle_02_l,LeftMiddleDistal,LeftHandMiddle3
heat_Ring1_l,CC_Base_L_Ring1,mixamorig:LeftHandRing1,,,l_handRing1_JNT,Character1_LeftHandRing1,LeftFinger4Metacarpal,ring_01_l,ring_metacarpal_l,LeftRingProximal,LeftHandRing1
heat_Ring2_l,CC_Base_L_Ring2,mixamorig:LeftHandRing2,,,l_handRing2_JNT,Character1_LeftHandRing2,LeftFinger4Proximal,ring_02_l,ring_01_l,LeftRingIntermediate,LeftHandRing2
heat_Ring3_l,CC_Base_L_Ring3,mixamorig:LeftHandRing3,,,l_handRing3_JNT,Character1_LeftHandRing3,LeftFinger4Medial,ring_03_l,ring_02_l,LeftRingDistal,LeftHandRing3
heat_Pinky1_l,CC_Base_L_Pinky1,mixamorig:LeftHandPinky1,,,l_handPinky1_JNT,Character1_LeftHandPinky1,LeftFinger5Metacarpal,pinky_01_l,pinky_metacarpal_l,LeftLittleProximal,LeftHandPinky1
heat_Pinky2_l,CC_Base_L_Pinky2,mixamorig:LeftHandPinky2,,,l_handPinky2_JNT,Character1_LeftHandPinky2,LeftFinger5Proximal,pinky_02_l,pinky_01_l,LeftLittleIntermediate,LeftHandPinky2
heat_Pinky3_l,CC_Base_L_Pinky3,mixamorig:LeftHandThumb3,,,l_handPinky3_JNT,Character1_LeftHandPinky3,LeftFinger5Medial,pinky_03_l,pinky_02_l,LeftLittleDistal,LeftHandPinky3
heat_UpLeg_r,CC_Base_R_Thigh,mixamorig:RightUpLeg,,RightHip,l_upleg_JNT,Character1_RightUpLeg,RightThigh,thigh_r,thigh_r,RightUpperLeg,RightUpLeg
heat_Leg_r,CC_Base_R_Calf,mixamorig:RightLeg,,RightKnee,l_leg_JNT,Character1_RightLeg,RightShin,calf_r,calf_r,RightLowerLeg,RightLeg
heat_Foot_r,CC_Base_R_Foot,mixamorig:RightFoot,,RightAnkle,l_foot_JNT,Character1_RightFoot,RightFoot,foot_r,foot_r,RightFoot,RightFoot
heat_ToeBase_r,CC_Base_R_ToeBase,mixamorig:RightToeBase,,RightToe,l_toebase_JNT,Character1_RightToeBase,RightToe,ball_r,ball_r,RightToes,RightToeBase
heat_UpLeg_l,CC_Base_L_Thigh,mixamorig:LeftUpLeg,,LeftHip,r_upleg_JNT,Character1_LeftUpLeg,LeftThigh,thigh_l,thigh_l,LeftUpperLeg,LeftUpLeg
heat_Leg_l,CC_Base_L_Calf,mixamorig:LeftLeg,,LeftKnee,r_leg_JNT,Character1_LeftLeg,LeftShin,calf_l,calf_l,LeftLowerLeg,LeftLeg
heat_Foot_l,CC_Base_L_Foot,mixamorig:LeftFoot,,LeftAnkle,r_foot_JNT,Character1_LeftFoot,LeftFoot,foot_l,foot_l,LeftFoot,LeftFoot
heat_ToeBase_l,CC_Base_L_ToeBase,mixamorig:LeftToeBase,,LeftToe,r_toebase_JNT,Character1_LeftToeBase,LeftToe,ball_l,ball_l,LeftToes,LeftToeBase
